# Ar I + Ar II lines within FAST wavelength range (~3470-7410 A)
# ArI source:  PypeIt ArI_MODS_lines.dat  (NIST, lbt_mods_ArI)
# ArII source: PypeIt ArII_lines.dat       (NIST / GMOS)
3481.5070  ArII
3510.7818  ArII
3520.9998  ArII
3536.3298  ArII
3549.5279  ArII
3555.3210  ArI
3560.5246  ArII
3562.0473  ArII
3577.6364  ArII
3589.4644  ArII
3607.5510  ArI
3719.2638  ArII
3730.3687  ArII
3767.1883  ArII
3771.4400  ArI
3835.7670  ArI
3869.6248  ArII
3926.8302  ArII
3947.2138  ArII
3950.0970  ArI
3980.4810  ArII
3995.9212  ArII
4034.9488  ArII
4044.0356  ArII
4045.5610  ArI
4054.0654  ArII
4073.1541  ArII
4105.0700  ArII
4132.8886  ArII
4159.7620  ArI
4165.3540  ArI
4183.0630  ArI
4191.8940  ArI
4201.0720  ArII
4201.8580  ArI
4223.8262  ArII
4238.4126  ArII
4252.3820  ArI
4260.5610  ArI
4267.4870  ArI
4273.3710  ArI
4278.7316  ArII
4301.3110  ArI
4301.8591  ArII
4332.4170  ArII
4334.7790  ArI
4336.5570  ArI
4338.2899  ArII
4346.3900  ArI
4349.2858  ArII
4353.4281  ArII
4363.2919  ArII
4369.0589  ArII
4380.8971  ArII
4386.2885  ArII
4401.3324  ArII
4402.2222  ArII
4427.2436  ArII
4431.4324  ArII
4435.0826  ArII
4440.7074  ArII
4450.1279  ArII
4476.0148  ArII
4483.0679  ArII
4492.2412  ArII
4499.7993  ArII
4504.1896  ArII
4511.9980  ArI
4523.5910  ArI
4531.8226  ArII
4546.3258  ArII
4580.6326  ArII
4591.1837  ArII
4600.0509  ArII
4610.8582  ArII
4638.5310  ArII
4659.2050  ArII
4728.1904  ArII
4733.3767  ArII
4737.2302  ArII
4766.1968  ArII
4807.3635  ArII
4849.1639  ArII
4881.2263  ArII
4890.4072  ArII
4934.5859  ArII
4966.4649  ArII
4973.5473  ArII
5010.7315  ArII
5018.5619  ArII
5063.4483  ArII
5091.9136  ArII
5127.1945  ArII
5143.2151  ArII
5146.7414  ArII
5163.7230  ArI
5189.1910  ArI
5441.5011  ArII
5455.1500  ArII
5497.4010  ArI
5560.2460  ArI
5579.2345  ArII
5608.2900  ArI
5652.2720  ArI
5693.2422  ArII
5788.1660  ArII
5814.3720  ArII
5890.2160  ArI
5913.7230  ArI
6033.7970  ArI
6044.8960  ArI
6048.5721  ArII
6061.0500  ArI
6105.2293  ArII
6116.6158  ArII
6125.0558  ArII
6129.1120  ArI
6147.1420  ArI
6156.9420  ArI
6166.8290  ArI
6171.8810  ArI
6173.9855  ArII
6202.8159  ArII
6214.2220  ArI
6217.6580  ArI
6244.8469  ArII
6250.1340  ArI
6298.6130  ArI
6309.4010  ArI
6326.1639  ArII
6366.6530  ArI
6371.3360  ArI
6386.4820  ArI
6400.9774  ArII
6404.7822  ArII
6418.0810  ArI
6439.3805  ArII
6468.3390  ArI
6484.8740  ArII
6539.9180  ArI
6606.6770  ArI
6616.1760  ArII
6622.7940  ArII
6633.9160  ArI
6640.0534  ArII
6641.5739  ArII
6645.5319  ArII
6658.7760  ArI
6662.5150  ArI
6665.8910  ArI
6668.1994  ArII
6679.1260  ArI
6686.1380  ArII
6721.0730  ArI
6754.6980  ArI
6768.4800  ArI
6863.1621  ArII
6873.1850  ArI
6881.4800  ArI
6890.0740  ArI
6939.5780  ArI
6953.3950  ArI
6967.3520  ArI
7032.1900  ArI
7069.1670  ArI
7070.6850  ArI
7109.4370  ArI
7127.7840  ArI
7149.0120  ArI
7160.8120  ArI
7208.9660  ArI
7267.1740  ArI
7274.9400  ArI
7313.7310  ArI
7318.0210  ArI
7355.3190  ArI
7374.1490  ArI
7386.0140  ArI
7395.0160  ArI
7414.3790  ArI
7427.3390  ArI
7437.4160  ArI
